State,Year,Produce,Temperature,Rainfall
Andaman and Nicobar Islands,2000,7.448154657293498,26.98,2763.2
Andaman and Nicobar Islands,2002,7.0005757052389175,27.18,2620.2
Andaman and Nicobar Islands,2003,7.417037861915367,27.26,2355.9
Andaman and Nicobar Islands,2004,8.985767139073651,27.29,2460.1
Andaman and Nicobar Islands,2005,6.4529008815820825,27.32,2954.7
Andaman and Nicobar Islands,2006,8.36583118206729,27.14,2404.7
Andaman and Nicobar Islands,2010,10.503105590062113,27.81,3157.1
Andhra Pradesh,2000,16.629423552485715,27.69,992.3
Andhra Pradesh,2001,15.136779125810204,27.97,1009.3
Andhra Pradesh,2002,26.21807492111438,28.05,703.2
Andhra Pradesh,2003,13.275461324914268,28.06,1096.8
Andhra Pradesh,2004,24.00385832240142,27.68,873.6
Andhra Pradesh,2005,20.721391482628754,27.82,1221.6
Andhra Pradesh,2006,24.342924421126558,27.92,1159.6
Andhra Pradesh,2008,25.2906127572173,27.89,1107.5
Andhra Pradesh,2009,30.50037261790695,28.43,790.5
Andhra Pradesh,2010,32.61774960380349,28.25,1712.4
Andhra Pradesh,2011,37.16883547451305,27.81,861.9
Andhra Pradesh,2013,31.14440998911358,27.78,1120.5
Assam,1998,13.892419720663723,23.5,2803.1
Assam,1999,13.915915271217976,23.77,2594.2
Assam,2000,13.873489443739127,22.85,2487.0
Assam,2001,13.90348623853211,23.56,2178.4
Assam,2002,13.830193990288757,23.33,2392.7
Assam,2003,13.834744776883346,23.33,2434.1
Assam,2005,13.765887483022375,23.6,2468.3
Assam,2006,13.846404624277456,23.92,1898.6
Assam,2007,13.790063410532058,23.72,2752.8
Assam,2008,13.801009214567793,23.45,2339.7
Assam,2009,13.82274344152957,24.21,2068.2
Assam,2010,13.720962459057697,24.05,2711.5
Assam,2011,15.329184450097765,23.53,1743.4
Assam,2012,16.21728321611457,23.05,2609.4
Assam,2013,16.8822580010235,23.14,1816.4
Assam,2014,16.88154995222216,23.52,2206.1
Bihar,1997,24.221769979649086,24.85,1303.7
Bihar,1998,18.24198826450011,25.86,1332.5
Bihar,1999,13.493240608345248,25.88,1402.7
Bihar,2000,21.0050661065118,25.38,1207.0
Bihar,2001,21.831273442784234,25.73,1247.0
Bihar,2002,19.664759923730283,25.79,1105.8
Bihar,2003,16.54862766202814,25.69,1353.9
Bihar,2004,12.822781385281385,25.79,1147.8
Bihar,2005,15.344383175173121,25.82,907.8
Bihar,2007,13.071228737690241,25.95,1600.2
Chhattisgarh,2000,40.73134328358209,26.08,906.3
Chhattisgarh,2001,39.04964539007092,26.21,1600.1
Chhattisgarh,2002,39.40625,26.5,990.2
Chhattisgarh,2003,39.897526501766784,26.32,1694.3
Chhattisgarh,2004,39.68032786885246,26.13,1144.5
Chhattisgarh,2005,38.614604462474645,26.21,1287.2
Chhattisgarh,2006,40.37133550488599,26.26,1317.7
Chhattisgarh,2007,36.675,26.28,1281.2
Chhattisgarh,2008,35.10064935064935,26.1,1108.5
Chhattisgarh,2009,72.11918063314711,26.89,956.6
Chhattisgarh,2010,34.4697247706422,26.76,1306.6
Chhattisgarh,2011,34.64383561643836,26.06,1302.7
Chhattisgarh,2012,13.846153846153847,26.21,1377.4
Chhattisgarh,2013,38.92669172932331,25.83,1420.0
Chhattisgarh,2014,37.542723004694835,26.02,1278.7
Goa,2013,11.32013769363167,26.96,3524.0
Goa,2014,11.294957983193278,27.22,2757.5
Gujarat,1997,57.4300518134715,26.57,1068.9
Gujarat,1998,65.47826086956522,27.45,1070.0
Gujarat,1999,62.47904191616767,27.17,568.4
Gujarat,2000,56.01315789473684,27.23,550.6
Gujarat,2001,60.40163934426229,27.15,849.0
Gujarat,2003,71.8936170212766,27.29,1160.3
Gujarat,2004,59.98136645962733,27.58,1005.8
Gujarat,2005,68.45928338762215,26.85,1316.4
Gujarat,2006,71.1203007518797,27.3,1478.0
Gujarat,2007,65.16346153846153,27.54,1178.9
Gujarat,2008,71.02482269503547,26.98,911.1
Gujarat,2009,72.6470588235294,27.96,641.6
Gujarat,2010,70.22553191489362,27.79,1088.7
Gujarat,2011,71.67482517482517,27.23,890.5
Gujarat,2012,71.19572953736655,27.0,714.0
Haryana,2002,0.0,25.63,357.2
Haryana,2003,0.0,24.83,597.6
Karnataka,1999,23.13435251179286,25.85,3779.9
Karnataka,2000,18.383104570539125,25.89,3351.3
Karnataka,2002,17.12161856679979,26.33,2793.1
Karnataka,2003,12.988049367850692,26.4,3071.9
Karnataka,2004,12.552064225647378,26.02,3070.0
Karnataka,2005,11.874041595886323,26.02,3470.9
Karnataka,2006,19.96522534352577,26.2,3837.3
Karnataka,2007,17.68502232185626,26.25,3860.2
Karnataka,2008,17.366043179620007,26.1,3206.4
Karnataka,2009,21.995842515746862,26.57,3862.0
Karnataka,2010,23.358812170237353,26.5,3686.8
Karnataka,2011,24.987322398059373,26.16,3908.6
Kerala,1998,12.666295337636381,26.93,3151.5
Kerala,1999,10.196819136403217,26.31,2914.6
Kerala,2000,7.278346168357043,26.38,2412.6
Kerala,2001,7.389337736627941,26.57,2931.1
Kerala,2002,7.577225695192929,26.74,2507.4
Kerala,2003,7.91006332057382,26.78,2394.9
Kerala,2004,8.075476505962694,26.43,2886.1
Kerala,2005,8.01014657980456,26.56,3031.1
Kerala,2006,7.841435165615542,26.55,3420.6
Kerala,2007,7.411452452772957,26.53,3489.6
Kerala,2008,7.964686969071412,26.38,2524.5
Kerala,2009,7.922808386153096,26.79,2810.6
Kerala,2010,8.243702099533094,26.8,3131.8
Kerala,2011,8.702536169319478,26.57,3035.1
Kerala,2012,8.451049810689875,26.82,2151.1
Kerala,2013,8.533415781950177,26.64,3255.4
Kerala,2014,8.80636463446138,26.77,3046.4
Madhya Pradesh,2001,31.128024249104435,25.78,787.0
Madhya Pradesh,2002,22.529565055531428,26.24,684.1
Madhya Pradesh,2003,28.601438848920864,25.91,946.4
Madhya Pradesh,2006,31.621326503100565,25.92,1169.2
Madhya Pradesh,2007,62.34906535861063,25.98,806.5
Madhya Pradesh,2008,50.62202115458137,25.72,791.1
Madhya Pradesh,2009,62.35696517412935,26.65,877.0
Madhya Pradesh,2010,53.47605529498889,26.56,776.3
Madhya Pradesh,2011,35.31088875809299,25.73,1063.9
Madhya Pradesh,2012,35.45535268327876,25.78,1035.2
Madhya Pradesh,2013,81.04045715512153,25.49,1396.3
Maharashtra,2003,62.99341421143848,27.06,772.6
Meghalaya,1997,12.027295285359802,21.15,2372.2
Meghalaya,1998,12.107816711590296,22.09,2803.1
Meghalaya,1999,11.91633765745441,22.26,2594.2
Meghalaya,2000,11.92114562023433,21.36,2487.0
Meghalaya,2002,12.286489520958083,21.87,2392.7
Meghalaya,2003,11.882551528073916,21.88,2434.1
Meghalaya,2004,10.809114085404717,21.9,2994.3
Meghalaya,2005,11.157018362900716,22.12,2468.3
Meghalaya,2006,11.268607910308315,22.49,1898.6
Meghalaya,2008,11.394357559030972,22.01,2339.7
Meghalaya,2009,11.588062334607468,22.8,2068.2
Meghalaya,2010,11.766593083149374,22.65,2711.5
Meghalaya,2011,11.86948981066628,22.04,1743.4
Meghalaya,2012,12.101401601830664,21.47,2609.4
Meghalaya,2013,12.279016905810485,21.52,1816.4
Meghalaya,2014,12.328337104072398,21.77,2206.1
Rajasthan,1999,0.0,26.17,204.3
Rajasthan,2000,0.0,26.18,235.3
Rajasthan,2001,0.0,26.03,285.3
Rajasthan,2002,0.0,26.51,92.4
Rajasthan,2003,0.0,25.86,368.1
Rajasthan,2004,0.0,26.51,196.7
Rajasthan,2005,0.0,25.67,260.8
Rajasthan,2006,0.0,26.21,361.3
Rajasthan,2007,0.0,26.3,310.8
Rajasthan,2008,0.0,25.95,324.1
Rajasthan,2009,0.0,26.81,160.4
Rajasthan,2010,0.0,26.8,473.2
Tamil Nadu,1997,40.130452065606256,27.71,950.5
Tamil Nadu,1998,48.86541422851863,28.07,1079.7
Tamil Nadu,1999,31.953220974216013,27.4,922.6
